id,Unnamed: 0,wgs84x,wgs84y,delta,delta+,delta-
44,36,121.50778270012677,25.02377900463989,-41,0.0,41.0
46,37,121.57877277480469,24.997363528089696,94,94.0,0.0
48,38,121.56581163492996,25.033146073617417,-58,0.0,58.0
49,39,121.50289062096769,25.137677843340963,-11,0.0,11.0
51,40,121.6017372683209,25.08336182275569,-21,0.0,21.0
52,41,121.56269810413806,25.05976155725468,-33,0.0,33.0
53,42,121.55946417707716,25.058343554962697,-56,0.0,56.0
54,43,121.55241687691536,25.04872112149384,0,0.0,0.0
55,44,121.50914028970251,25.050366109625244,71,71.0,0.0
56,45,121.53734524419693,25.032950276604506,61,61.0,0.0
57,46,121.5192046868518,25.048338052073213,57,57.0,0.0
58,47,121.52273720740378,25.04790215620117,129,129.0,0.0
59,48,121.527250118589,25.047065193965434,125,125.0,0.0
60,49,121.54088480755804,25.04455620901249,1,1.0,0.0
61,50,121.53895028213236,25.155182196801075,7,7.0,0.0
62,51,121.546772421139,25.04507796632736,20,20.0,0.0
64,52,121.55060926895426,25.044666200111408,2,2.0,0.0
65,53,121.55357574195723,25.044366910499033,0,0.0,0.0
66,54,121.5158257444651,25.067464156455888,-2,0.0,2.0
67,55,121.49165503481794,25.02772831752749,-64,0.0,64.0
68,56,121.52083300083989,25.099655112856226,0,0.0,0.0
69,57,121.50327016338026,25.02354526390045,-58,0.0,58.0
70,58,121.53960743308023,25.063888753096517,-16,0.0,16.0
71,59,121.51317022893473,25.055951550231843,4,4.0,0.0
72,60,121.53026021679487,25.09581441707293,-56,0.0,56.0
73,61,121.52597330387657,25.052449009206715,94,94.0,0.0
74,62,121.56206185569692,25.047283427656414,0,0.0,0.0
75,63,121.56116282413171,25.050012844291853,0,0.0,0.0
76,64,121.545570234312,25.1548731256361,-130,0.0,130.0
77,65,121.53927447597653,25.158503116045146,0,0.0,0.0
78,66,121.56774586324042,25.08151817759481,238,238.0,0.0
79,67,121.55666428261007,25.04099882949353,40,40.0,0.0
80,68,121.53862535992742,25.023498468208214,-65,0.0,65.0
81,69,121.61911792883268,25.072117430323143,-21,0.0,21.0
82,70,121.52469134254744,25.0591631149107,18,18.0,0.0
84,71,121.6015782241981,25.07310010711689,-34,0.0,34.0
85,72,121.54062923380621,25.00442672384011,14,14.0,0.0
86,73,121.52352311078563,25.11859281170634,0,0.0,0.0
87,74,121.54705908949036,25.060682532041263,13,13.0,0.0
