Unnamed: 0,SectionId,SectionName,AvgSpd,AvgOcc,TotalVol,MOELevel,StartWgsX,StartWgsY,EndWgsX,EndWgsY,Time,time
0,Z0111C0,市高往東  環河中華,26.858267,45.6,126.5,2,121.50695500216676,25.04994799574932,121.50705798692283,25.05040897981856,2020/06/01T09:08:06,09:08:06
1,Z0120C0,市高往東  中華承德,27.800653000000004,81.1,357.5,2,121.50705798692283,25.05040897981856,121.51466999479652,25.048847032913205,2020/06/01T09:08:06,09:08:06
2,Z0130A0,市高往東  承德中山,22.098291,50.4,234.5,2,121.51466999479652,25.048847032913205,121.53046697738931,25.04587403961925,2020/06/01T09:08:06,09:08:06
3,Z0130A1,市高往東  中山林森,26.03139,37.933334,218.0,2,121.51466999479652,25.048847032913205,121.53046697738931,25.04587403961925,2020/06/01T09:08:06,09:08:06
4,Z0140C0,市高往東  新生建國,33.706140000000005,37.5,224.5,2,121.53046697738931,25.04587403961925,121.53615703699234,25.044318028422193,2020/06/01T09:08:06,09:08:06
5,Z0140C1,市高往東  建國復興,24.214634,51.1,205.0,2,121.53046697738931,25.04587403961925,121.53615703699234,25.044318028422193,2020/06/01T09:08:06,09:08:06
6,Z0150C0,市高往東  復興敦化,24.025558,36.666668,317.5,2,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709533,2020/06/01T09:08:06,09:08:06
7,Z0150C1,市高往東  敦化上方,31.18513,38.2,329.25,2,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709533,2020/06/01T09:08:06,09:08:06
8,Z0150C2,市高往東  敦化延吉,38.485466,35.733334,340.0,1,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709533,2020/06/01T09:08:06,09:08:06
9,Z0160C0,市高往東  延吉永吉,36.391792,39.3,264.0,2,121.5576310475605,25.044760982709533,121.56922995528284,25.045546039344874,2020/06/01T09:08:06,09:08:06
10,Z0380F0,正氣橋  麥一市民,62.094936,20.5,161.5,0,121.56977204249891,25.046189014663444,121.56977100926191,25.045943997665272,2020/06/01T09:08:06,09:08:06
11,Z0390G0,市高往西  永吉光復,68.00825999999999,20.8,238.0,0,121.56977100926191,25.045943997665272,121.56751202127087,25.045890982790407,2020/06/01T09:08:06,09:08:06
12,Z03A0G1,市高往西  光復延吉,62.133827,23.1,266.5,0,121.56751202127087,25.045890982790407,121.55766704817093,25.045468014863648,2020/06/01T09:08:06,09:08:06
13,Z03B0G0,市高往西  延吉復興,69.35254,15.6,294.5,0,121.55766704817093,25.045468014863648,121.53612602033242,25.045025038475362,2020/06/01T09:08:06,09:08:06
14,Z03C0G0,市高往西  復興建國,65.666664,4.1,147.5,0,121.53612602033242,25.045025038475362,121.53057103606585,25.046518994932324,2020/06/01T09:08:06,09:08:06
15,Z03C0G1,市高往西  建國新生,69.947365,17.5,209.0,0,121.53612602033242,25.045025038475362,121.53057103606585,25.046518994932324,2020/06/01T09:08:06,09:08:06
16,Z03D0G0,市高往西  新生林森,0.0,0.0,0.0,0,121.53057103606585,25.046518994932324,121.51517795173565,25.04952102448575,2020/06/01T09:08:06,09:08:06
17,Z03D0G1,市高往西  林森中山,70.147285,13.8,259.5,0,121.53057103606585,25.046518994932324,121.51517795173565,25.04952102448575,2020/06/01T09:08:06,09:08:06
18,Z03E0G0,市高往西  承德重慶,56.512314,20.4,204.5,0,121.51517795173565,25.04952102448575,121.50722899109087,25.0510220354424,2020/06/01T09:08:06,09:08:06
19,Z03E0G1,市高往西  重慶中華,57.65116,19.4,215.0,0,121.51517795173565,25.04952102448575,121.50722899109087,25.0510220354424,2020/06/01T09:08:06,09:08:06
20,Z5062G0,市高往西  中華環河,50.346153,19.4,99.5,0,121.50722899109087,25.0510220354424,121.4978689575455,25.040064961617485,2020/06/01T09:08:06,09:08:06
21,Z1001A0,建國快往北 辛亥路上匝道,61.0375,6.8,79.0,0,121.53757699004582,25.022267034958556,121.53770600753029,25.022928959930677,2020/06/01T09:08:06,09:08:06
22,Z1001B0,建國快往北 辛亥高架接建高,64.78846,2.0,53.0,0,121.53699503869629,25.022828970598344,121.53770600753029,25.022928959930677,2020/06/01T09:08:06,09:08:06
23,Z1010A0,建國快往北 辛亥信義,73.71583000000003,10.066667,295.0,0,121.53770600753029,25.022928959930677,121.53806600958023,25.035568969284725,2020/06/01T09:08:06,09:08:06
24,Z1010A1,建國快往北 和平信義,63.25373,5.266667,134.5,1,121.53770600753029,25.022928959930677,121.53806600958023,25.035568969284725,2020/06/01T09:08:06,09:08:06
25,Z1011A0,建國快往北 信義路上匝道,48.61111,6.8,54.0,0,121.53781803221807,25.03440000792715,121.53806600958023,25.035568969284725,2020/06/01T09:08:06,09:08:06
26,Z1021A0,建國快往北 仁愛路上匝道,31.651163,13.6,42.0,1,121.53788296664486,25.038064993476766,121.53796295884571,25.035707020623164,2020/06/01T09:08:06,09:08:06
27,Z1030A0,建國快往北 仁愛忠孝,36.37631,20.533335,298.5,1,121.53796295884571,25.035707020623164,121.53712002297962,25.042024037418646,2020/06/01T09:08:06,09:08:06
28,Z1040A0,建國快往北 忠孝長安,65.43094,16.066668,408.5,0,121.53712002297962,25.042024037418646,121.53683603132116,25.046082009028336,2020/06/01T09:08:06,09:08:06
29,Z1050A0,建國快往北 南京東路,66.84321,11.0,291.0,0,121.5370319884134,25.049729001522426,121.53688503102171,25.049528026299306,2020/06/01T09:08:06,09:08:06
30,Z1051A0,建國快往北 南京入口,41.894737,5.0,38.0,1,121.53678501230145,25.05198104221491,121.53688503102171,25.049528026299306,2020/06/01T09:08:06,09:08:06
31,Z1060A0,建國快往北 南京民權,62.66336999999999,12.400001,303.0,1,121.53688503102171,25.049528026299306,121.53710502725764,25.06175799386101,2020/06/01T09:08:06,09:08:06
32,Z1070A0,建國快往北 民權民族,52.9,4.5,62.5,1,121.53710502725764,25.06175799386101,121.53436104509713,25.0672949565866,2020/06/01T09:08:06,09:08:06
33,Z1080A0,建國快往北 民族濱江,52.55555699999999,9.0,108.0,1,121.53436104509713,25.0672949565866,121.5334229738754,25.068942969260817,2020/06/01T09:08:06,09:08:06
34,Z10C0A0,建國快往北 長安南京,64.822296,17.133335,282.5,0,121.53683603132116,25.046082009028336,121.5370319884134,25.049729001522426,2020/06/01T09:08:06,09:08:06
35,Z10D2A0,建國快往北 民權東路下匝道,35.243904,38.8,120.5,1,121.53710502725764,25.06175799386101,121.53748804599242,25.06147096042997,2020/06/01T09:08:06,09:08:06
36,Z10E2A0,建國快往北 南京東路下匝道,29.263737,22.2,92.5,2,121.5370319884134,25.049729001522426,121.53717196009096,25.05078297345501,2020/06/01T09:08:06,09:08:06
37,Z10F2A0,建國快往北 長安東路下匝道,29.067797,48.1,119.0,1,121.53683603132116,25.046082009028336,121.53702398882123,25.04796097376113,2020/06/01T09:08:06,09:08:06
38,Z1210E0,建國快往南 濱江民權,57.10126500000001,3.7,82.5,0,121.53341899187795,25.068939011227602,121.53435399475971,25.06729200270585,2020/06/01T09:08:06,09:08:06
39,Z1220E0,建國快往南 民權東路,66.09251400000001,13.0,231.5,0,121.53435399475971,25.06729200270585,121.53669398558789,25.06127801401677,2020/06/01T09:08:06,09:08:06
40,Z1221E0,建國快往南 民權上匝道,39.79310200000001,14.4,57.0,0,121.53643703629278,25.06176898515346,121.53669398558789,25.06127801401677,2020/06/01T09:08:06,09:08:06
41,Z1230E0,建國快往南 民權長春,71.68293,10.2,293.5,0,121.53669398558789,25.06127801401677,121.53659298978876,25.053357973956647,2020/06/01T09:08:06,09:08:06
42,Z1231E0,建國快往南 長春路上匝道,48.253334,9.6,76.0,0,121.53688203034464,25.05618803885665,121.53659298978876,25.053357973956647,2020/06/01T09:08:06,09:08:06
43,Z1241E0,建國快往南 長安東路上匝道,48.36207,6.2,57.0,0,121.53670903176037,25.04837000013534,121.5363520370318,25.04615598175777,2020/06/01T09:08:06,09:08:06
44,Z1260E0,建國快往南 忠孝仁愛,66.250755,13.466667,348.5,0,121.53637299011892,25.04302199114429,121.53756997310371,25.039532015265888,2020/06/01T09:08:06,09:08:06
45,Z1270E0,建國快往南 仁愛信義,47.64835,5.0666666,93.5,1,121.53756997310371,25.039532015265888,121.53758001101663,25.03460499410204,2020/06/01T09:08:06,09:08:06
46,Z1280E0,建國快往南 信義和平,63.14285699999999,5.8,162.0,0,121.53758001101663,25.03460499410204,121.53736502444755,25.02776798795185,2020/06/01T09:08:06,09:08:06
47,Z1290E0,建國快往南 和平辛亥,63.031055,16.7,209.0,0,121.53736502444755,25.02776798795185,121.53728803943994,25.024059976404892,2020/06/01T09:08:06,09:08:06
48,Z12B2E0,建國快往南 民權下匝道,30.76923,10.8,52.0,1,121.53435399475971,25.06729200270585,121.5353979540123,25.06558798954165,2020/06/01T09:08:06,09:08:06
49,Z12C2E0,建國快往南 忠孝東路下匝道,45.18421,20.9,143.0,0,121.53637299011892,25.04302199114429,121.53648598757091,25.041820036602626,2020/06/01T09:08:06,09:08:06
50,Z12E2E0,建國快往南 仁愛路下匝道,53.59302,8.6,86.5,1,121.53758001101663,25.03460499410204,121.5372760360532,25.03545699026132,2020/06/01T09:08:06,09:08:06
